ZipCode,CaseType,CourtName,Condition,Is_Default
90001,Limited,Norwalk Courthouse,,True
90002,Limited,Norwalk Courthouse,,True
90004,Limited,Chatsworth Courthouse,,True
90005,Limited,Norwalk Courthouse,,True
90006,Limited,Norwalk Courthouse,,True
90007,Limited,Norwalk Courthouse,,True
90008,Limited,Chatsworth Courthouse,,True
90009,Limited,Chatsworth Courthouse,,True
90010,Limited,Norwalk Courthouse,,True
90011,Limited,Norwalk Courthouse,,True
90012,Limited,Norwalk Courthouse,,True
90013,Limited,Norwalk Courthouse,,True
90014,Limited,Norwalk Courthouse,,True
90015,Limited,Norwalk Courthouse,,True
90016,Limited,Norwalk Courthouse,,True
90017,Limited,Norwalk Courthouse,,True
90018,Limited,Norwalk Courthouse,,True
90019,Limited,Chatsworth Courthouse,,True
90020,Limited,Chatsworth Courthouse,,True
90021,Limited,Norwalk Courthouse,,True
90022,Limited,Norwalk Courthouse,,True
90023,Limited,Norwalk Courthouse,,True
90024,Limited,Chatsworth Courthouse,,True
90025,Limited,Chatsworth Courthouse,,True
90026,Limited,Chatsworth Courthouse,,True
90027,Limited,Chatsworth Courthouse,,True
90028,Limited,Chatsworth Courthouse,,True
90029,Limited,Chatsworth Courthouse,,True
90030,Limited,Norwalk Courthouse,,True
90031,Limited,Norwalk Courthouse,,True
90032,Limited,Norwalk Courthouse,,True
90033,Limited,Norwalk Courthouse,,True
90036,Limited,Chatsworth Courthouse,,True
90037,Limited,Norwalk Courthouse,,True
90038,Limited,Chatsworth Courthouse,,True
90039,Limited,Chatsworth Courthouse,,True
90040,Limited,Norwalk Courthouse,,True
90041,Limited,Chatsworth Courthouse,,True
90042,Limited,Chatsworth Courthouse,,True
90043,Limited,Chatsworth Courthouse,,True
90045,Limited,Chatsworth Courthouse,,True
90046,Limited,Chatsworth Courthouse,,True
90047,Limited,Norwalk Courthouse,,True
90048,Limited,Chatsworth Courthouse,,True
90049,Limited,Chatsworth Courthouse,,True
90050,Limited,Norwalk Courthouse,,True
90051,Limited,Norwalk Courthouse,,True
90052,Limited,Norwalk Courthouse,,True
90053,Limited,Norwalk Courthouse,,True
90054,Limited,Norwalk Courthouse,,True
90055,Limited,Chatsworth Courthouse,,True
90057,Limited,Norwalk Courthouse,,True
90058,Limited,Norwalk Courthouse,,True
90059,Limited,Norwalk Courthouse,,True
90060,Limited,Norwalk Courthouse,,True
90062,Limited,Norwalk Courthouse,,True
90064,Limited,Chatsworth Courthouse,,True
90065,Limited,Chatsworth Courthouse,,True
90066,Limited,Chatsworth Courthouse,,True
90067,Limited,Chatsworth Courthouse,,True
90068,Limited,Chatsworth Courthouse,,True
90069,Limited,Chatsworth Courthouse,,True
90070,Limited,Chatsworth Courthouse,,True
90071,Limited,Norwalk Courthouse,,True
90072,Limited,Norwalk Courthouse,,True
90073,Limited,Chatsworth Courthouse,,True
90074,Limited,Norwalk Courthouse,,True
90075,Limited,Norwalk Courthouse,,True
90076,Limited,Norwalk Courthouse,,True
90077,Limited,Chatsworth Courthouse,,True
90078,Limited,Chatsworth Courthouse,,True
90079,Limited,Chatsworth Courthouse,,True
90080,Limited,Chatsworth Courthouse,,True
90081,Limited,Chatsworth Courthouse,,True
90082,Limited,Norwalk Courthouse,,True
90083,Limited,Chatsworth Courthouse,,True
90084,Limited,Chatsworth Courthouse,,True
90086,Limited,Norwalk Courthouse,,True
90087,Limited,Norwalk Courthouse,,True
90088,Limited,Norwalk Courthouse,,True
90089,Limited,Norwalk Courthouse,,True
90091,Limited,Norwalk Courthouse,,True
90093,Limited,Norwalk Courthouse,,True
90094,Limited,Chatsworth Courthouse,,True
90095,Limited,,,True
90096,Limited,Norwalk Courthouse,,True
90099,Limited,Norwalk Courthouse,,True
90101,Limited,Norwalk Courthouse,,True
90103,Limited,Norwalk Courthouse,,True
90189,Limited,Chatsworth Courthouse,,True
90201,Limited,Norwalk Courthouse,,True
90202,Limited,Norwalk Courthouse,,True
90209,Limited,Chatsworth Courthouse,,True
90210,Limited,Chatsworth Courthouse,,True
90211,Limited,Chatsworth Courthouse,,True
90212,Limited,Chatsworth Courthouse,,True
90213,Limited,Chatsworth Courthouse,,True
90220,Limited,Norwalk Courthouse,,True
90222,Limited,Norwalk Courthouse,,True
90223,Limited,Norwalk Courthouse,,True
90224,Limited,Norwalk Courthouse,,True
90230,Limited,Chatsworth Courthouse,,True
90231,Limited,Chatsworth Courthouse,,True
90232,Limited,Chatsworth Courthouse,,True
90233,Limited,Chatsworth Courthouse,,True
90239,Limited,Norwalk Courthouse,,True
90240,Limited,Norwalk Courthouse,,True
90241,Limited,Norwalk Courthouse,,True
90242,Limited,Norwalk Courthouse,,True
90245,Limited,Norwalk Courthouse,,True
90247,Limited,Norwalk Courthouse,,True
90248,Limited,Norwalk Courthouse,,True
90249,Limited,Norwalk Courthouse,,True
90250,Limited,,,True
90251,Limited,Norwalk Courthouse,,True
90254,Limited,,,True
90255,Limited,Norwalk Courthouse,,True
90260,Limited,Norwalk Courthouse,,True
90261,Limited,Norwalk Courthouse,,True
90262,Limited,Norwalk Courthouse,,True
90263,Limited,Chatsworth Courthouse,,True
90264,Limited,Chatsworth Courthouse,,True
90265,Limited,Chatsworth Courthouse,,True
90266,Limited,Norwalk Courthouse,,True
90267,Limited,Norwalk Courthouse,,True
90270,Limited,Norwalk Courthouse,,True
90272,Limited,Chatsworth Courthouse,,True
90274,Limited,Norwalk Courthouse,,True
90275,Limited,Norwalk Courthouse,,True
90277,Limited,Norwalk Courthouse,,True
90278,Limited,Norwalk Courthouse,,True
90280,Limited,Norwalk Courthouse,,True
90290,Limited,Chatsworth Courthouse,,True
90291,Limited,Chatsworth Courthouse,,True
90292,Limited,Chatsworth Courthouse,,True
