Zip Code,City/Community Area,Courthouse
90001,FLORENCE,Norwalk Courthouse
90001,HUNTINGTON PARK,Norwalk Courthouse
90001,LOS ANGELES,Norwalk Courthouse
90002,FLORENCE,Norwalk Courthouse
90002,LOS ANGELES,Norwalk Courthouse
90002,LYNWOOD,Norwalk Courthouse
90002,WATTS,Norwalk Courthouse
90003,LOS ANGELES (North of Manchester),Norwalk Courthouse
90003,LOS ANGELES (South of Manchester),Norwalk Courthouse
90004,LOS ANGELES,Chatsworth Courthouse
90005,LOS ANGELES,Norwalk Courthouse
90006,KOREATOWN,Norwalk Courthouse
90006,LOS ANGELES,Norwalk Courthouse
90007,LOS ANGELES,Norwalk Courthouse
90008,BALDWIN HILLS,Chatsworth Courthouse
90008,CRENSHAW,Chatsworth Courthouse
90008,LIEMERT PARK,Chatsworth Courthouse
90008,LOS ANGELES,Chatsworth Courthouse
90009,LOS ANGELES,Chatsworth Courthouse
90010,LOS ANGELES,Norwalk Courthouse
90010,WILSHIRE CENTER,Norwalk Courthouse
90011,LOS ANGELES,Norwalk Courthouse
90012,CHINATOWN,Norwalk Courthouse
90012,ELYSIAN PARK,Norwalk Courthouse
90012,LOS ANGELES,Norwalk Courthouse
90013,LOS ANGELES,Norwalk Courthouse
90014,LOS ANGELES,Norwalk Courthouse
90015,LOS ANGELES,Norwalk Courthouse
90016,LOS ANGELES,Norwalk Courthouse
90016,MID-CITY,Norwalk Courthouse
90017,LOS ANGELES,Norwalk Courthouse
90018,JEFFERSON PARK,Norwalk Courthouse
90018,LOS ANGELES,Norwalk Courthouse
90019,COUNTY CLUB PARK,Chatsworth Courthouse
90019,LOS ANGELES,Chatsworth Courthouse
90020,HANCOCK PARK,Chatsworth Courthouse
90020,LOS ANGELES,Chatsworth Courthouse
90021,LOS ANGELES,Norwalk Courthouse
90022,CITY OF COMMERCE,Norwalk Courthouse
90022,EAST LOS ANGELES,Norwalk Courthouse
90023,CITY OF COMMERCE,Norwalk Courthouse
90023,EAST LOS ANGELES,Norwalk Courthouse
90023,LOS ANGELES,Norwalk Courthouse
90023,VERNON,Norwalk Courthouse
90024,LOS ANGELES,Chatsworth Courthouse
90024,WESTWOOD,Chatsworth Courthouse
90025,LOS ANGELES,Chatsworth Courthouse
90025,SAWTELLE,Chatsworth Courthouse
90025,WEST LOS ANGELES,Chatsworth Courthouse
90026,ECHO PARK,Chatsworth Courthouse
90026,LOS ANGELES,Chatsworth Courthouse
90026,SILVER LAKE,Chatsworth Courthouse
90027,GRIFFITH PARK,Chatsworth Courthouse
90027,LOS ANGELES,Chatsworth Courthouse
90027,LOS FELIZ,Chatsworth Courthouse
90028,HOLLYWOOD,Chatsworth Courthouse
90028,LOS ANGELES,Chatsworth Courthouse
90029,LOS ANGELES,Chatsworth Courthouse
90030,LOS ANGELES,Norwalk Courthouse
90031,LINCOLN HEIGHTS,Norwalk Courthouse
90031,LOS ANGELES,Norwalk Courthouse
90031,MONTECITO HEIGHTS,Norwalk Courthouse
90032,EL SERENO,Norwalk Courthouse
90032,LOS ANGELES,Norwalk Courthouse
90032,MONTEREY HILLS,Norwalk Courthouse
90033,BOYLE HEIGHTS,Norwalk Courthouse
90033,LOS ANGELES,Norwalk Courthouse
90034,LOS ANGELES (East of La Cienega),Chatsworth Courthouse
90034,LOS ANGELES (West of La Cienega),Chatsworth Courthouse
90034,PALMS,Chatsworth Courthouse
90035,LOS ANGELES (East of La Cienega),Chatsworth Courthouse
90035,LOS ANGELES (West of La Cienega),Chatsworth Courthouse
90036,LOS ANGELES,Chatsworth Courthouse
90036,MIRACLE MILE,Chatsworth Courthouse
90036,PARK LA BREA,Chatsworth Courthouse
90037,LOS ANGELES,Norwalk Courthouse
90038,LOS ANGELES,Chatsworth Courthouse
90038,WEST HOLLYWOOD,Chatsworth Courthouse
90039,ATWATER VILLAGE,Chatsworth Courthouse
90039,LOS ANGELES,Chatsworth Courthouse
90040,BELL,Norwalk Courthouse
90040,BELL GARDENS,Norwalk Courthouse
90040,CITY OF COMMERCE,Norwalk Courthouse
90040,VERNON,Norwalk Courthouse
90041,EAGLE ROCK,Chatsworth Courthouse
90041,LOS ANGELES,Chatsworth Courthouse
90042,GARVANZA,Chatsworth Courthouse
90042,HIGHLAND PARK,Chatsworth Courthouse
90042,LOS ANGELES,Chatsworth Courthouse
90043,HYDE PARK,Chatsworth Courthouse
90043,LOS ANGELES,Chatsworth Courthouse
90043,VIEW PARK,Chatsworth Courthouse
90043,WINDSOR HILLS,Chatsworth Courthouse
90044,ATHENS,Norwalk Courthouse
90044,LOS ANGELES (North of Manchester),Norwalk Courthouse
90044,LOS ANGELES (South of Manchester),Norwalk Courthouse
90045,DEL AIRE,Chatsworth Courthouse
90045,LADERA HEIGHTS,Chatsworth Courthouse
90045,LOS ANGELES,Chatsworth Courthouse
90045,LAX,Chatsworth Courthouse
90045,WESTCHESTER,Chatsworth Courthouse
90046,LOS ANGELES,Chatsworth Courthouse
90046,MOUNT OLYMPUS,Chatsworth Courthouse
90046,WEST HOLLYWOOD,Chatsworth Courthouse
90047,ATHENS,Norwalk Courthouse
90047,LOS ANGELES,Norwalk Courthouse
90047,UNINCORPORATED LA COUNTY,Norwalk Courthouse
90047,WEST ATHENS,Norwalk Courthouse
90048,LOS ANGELES,Chatsworth Courthouse
90048,WEST HOLLYWOOD,Chatsworth Courthouse
90049,BRENTWOOD,Chatsworth Courthouse
90049,LOS ANGELES,Chatsworth Courthouse
90050,LOS ANGELES,Norwalk Courthouse
90051,LOS ANGELES,Norwalk Courthouse
90052,FLORENCE,Norwalk Courthouse
90053,LOS ANGELES,Norwalk Courthouse
90054,LOS ANGELES,Norwalk Courthouse
90055,LOS ANGELES,Chatsworth Courthouse
90056,BALDWIN HILLS,Chatsworth Courthouse
90056,LADERA HEIGHTS,Norwalk Courthouse
90056,LOS ANGELES (East of La Tijera),Norwalk Courthouse
90056,LOS ANGELES (West of La Tijera),Norwalk Courthouse
90056,WINDSOR HILLS,Norwalk Courthouse
90057,LOS ANGELES,Norwalk Courthouse
90057,WESTLAKE,Norwalk Courthouse
90058,LOS ANGELES,Norwalk Courthouse
90058,VERNON,Norwalk Courthouse
90059,LOS ANGELES,Norwalk Courthouse
90059,WILLOWBROOK,Norwalk Courthouse
90060,LOS ANGELES,Norwalk Courthouse
90061,LOS ANGELES,Norwalk Courthouse
90061,UNINCORPORATED WEST OF COMPTON,Norwalk Courthouse
90062,LOS ANGELES,Norwalk Courthouse
90063,BOYLE HEIGHTS,Norwalk Courthouse
90063,CITY TERRACE,Norwalk Courthouse
90063,EAST LOS ANGELES,Norwalk Courthouse
90063,LOS ANGELES,Norwalk Courthouse
90063,MONTEREY PARK,Chatsworth Courthouse
90064,CHEVIOT HILLS,Chatsworth Courthouse
90064,LOS ANGELES,Chatsworth Courthouse
90064,RANCHO PARK,Chatsworth Courthouse
90065,CYPRESS PARK,Chatsworth Courthouse
90065,GLASSELL PARK,Chatsworth Courthouse
90065,LOS ANGELES,Chatsworth Courthouse
90065,MOUNT WASHINGTON,Chatsworth Courthouse
90066,CULVER CITY,Chatsworth Courthouse
90066,LOS ANGELES,Chatsworth Courthouse
90066,MAR VISTA,Chatsworth Courthouse
90066,PLAYA VISTA,Chatsworth Courthouse
90066,UNINCORPORATED LA COUNTY,Chatsworth Courthouse
90067,CENTURY CITY,Chatsworth Courthouse
90067,LOS ANGELES,Chatsworth Courthouse
90068,HOLLYWOOD HILLS,Chatsworth Courthouse
90068,LOS ANGELES,Chatsworth Courthouse
90069,LOS ANGELES,Chatsworth Courthouse
90069,WEST HOLLYWOOD,Chatsworth Courthouse
90070,LOS ANGELES,Chatsworth Courthouse
90071,LOS ANGELES,Norwalk Courthouse
90072,LOS ANGELES,Norwalk Courthouse
90073,VETERANS ADMIN,Chatsworth Courthouse
90074,LOS ANGELES,Norwalk Courthouse
90075,LOS ANGELES,Norwalk Courthouse
90076,LOS ANGELES,Norwalk Courthouse
90077,BEL AIR ESTATES,Chatsworth Courthouse
90077,BEVERLY GLEN,Chatsworth Courthouse
90077,LOS ANGELES,Chatsworth Courthouse
90078,LOS ANGELES,Chatsworth Courthouse
90079,LOS ANGELES,Chatsworth Courthouse
90080,LOS ANGELES,Chatsworth Courthouse
90081,LOS ANGELES,Chatsworth Courthouse
90082,LOS ANGELES,Norwalk Courthouse
90083,LOS ANGELES,Chatsworth Courthouse
90084,LOS ANGELES,Chatsworth Courthouse
90086,LOS ANGELES,Norwalk Courthouse
90087,LOS ANGELES,Norwalk Courthouse
90088,LOS ANGELES,Norwalk Courthouse
90089,USC,Norwalk Courthouse
90091,CITY OF COMMERCE,Norwalk Courthouse
90093,LOS ANGELES,Norwalk Courthouse
90094,LOS ANGELES,Chatsworth Courthouse
90094,PLAYA VISTA,Chatsworth Courthouse
90095,UCLA,Chatsworth Courthouse
90096,BELL,Norwalk Courthouse
90097,FLORENCE,Norwalk Courthouse
90099,LOS ANGELES,Norwalk Courthouse
90101,FLORENCE,Norwalk Courthouse
90102,LOS ANGELES,Norwalk Courthouse
90103,BELL GARDENS,Norwalk Courthouse
90174,FLORENCE,Chatsworth Courthouse
90185,FLORENCE,Chatsworth Courthouse
90189,LOS ANGELES,Chatsworth Courthouse
90201,BELL,Norwalk Courthouse
90201,BELL GARDENS,Norwalk Courthouse
90201,CUDAHY,Norwalk Courthouse
90202,BELL,Norwalk Courthouse
90202,BELL GARDENS,Norwalk Courthouse
90209,BEVERLY HILLS,Chatsworth Courthouse
90210,BEVERLY HILLS,Chatsworth Courthouse
90210,LOS ANGELES,Chatsworth Courthouse
90210,TROUSDALE ESTATES,Chatsworth Courthouse
90211,BEVERLY HILLS,Chatsworth Courthouse
90212,BEVERLY HILLS,Chatsworth Courthouse
90213,BEVERLY HILLS,Chatsworth Courthouse
90220,COMPTON,Norwalk Courthouse
90220,RANCHO DOMINGUEZ,Norwalk Courthouse
90221,COMPTON,Norwalk Courthouse
90221,EAST RANCHO DOMINGUEZ,Norwalk Courthouse
90221,RANCHO DOMINGUEZ,Norwalk Courthouse
90221,UNINCORPORATED EAST OF COMPTON,Norwalk Courthouse
90222,WILLOWBROOK,Norwalk Courthouse
90223,COMPTON,Norwalk Courthouse
90224,COMPTON,Norwalk Courthouse
90230,BALDWIN HILLS,Chatsworth Courthouse
